StudentID,LectureCompletionRate,QuizScore_avg,TimeSpent_hrs,CourseRating,FeedbackSentiment,SatisfactionStatus
100599,63.8,72.4,26.9,2,1.0,0
100600,65.4,76.7,29.9,4,0.98,0
100601,75.0,59.2,13.0,3,0.246,1
100602,58.9,92.2,15.0,3,0.046,0
100603,55.9,58.0,7.3,3,0.908,1
100604,77.1,68.0,33.5,4,0.61,0
100605,62.0,75.4,12.6,3,0.392,0
100606,64.7,100.0,26.4,2,0.105,0
100607,63.9,68.1,30.1,3,0.399,0
100608,87.4,64.7,34.2,3,0.24,0
100609,73.8,66.3,12.7,3,-0.049,0
100610,74.8,97.2,23.7,3,0.308,1
100611,88.7,34.6,61.5,3,0.369,0
100612,75.4,60.0,63.0,2,0.081,0
100613,73.0,100.0,42.2,4,0.657,1
100614,86.5,82.3,29.5,3,0.83,1
100615,90.0,58.5,14.1,3,0.686,0
100616,75.4,73.4,36.4,3,0.126,1
100617,79.5,74.9,22.5,4,0.59,1
100618,63.9,85.8,33.4,3,0.285,0
100619,62.5,99.8,17.3,3,-0.306,1
100620,91.8,79.4,22.3,3,0.553,1
100621,86.0,66.4,26.9,3,0.316,0
100622,86.2,85.0,28.1,4,1.0,0
100623,83.1,64.2,32.2,4,0.906,0
100624,78.8,59.5,17.8,4,0.57,1
100625,90.5,49.4,11.7,3,0.362,0
100626,94.8,52.1,60.0,2,0.324,1
100627,94.4,61.4,96.5,3,-0.202,0
100628,76.2,57.5,31.4,3,-0.533,0
100629,100.0,78.4,11.8,3,-0.143,1
100630,82.1,57.2,16.0,3,0.229,0
100631,89.4,30.0,32.5,2,-0.697,0
100632,83.1,59.4,51.3,2,0.005,0
100633,82.4,67.4,12.6,3,0.139,0
100634,64.8,65.5,22.9,3,0.153,0
100635,90.6,95.3,27.3,3,-0.048,0
100636,100.0,65.4,39.5,3,0.096,0
100637,71.3,86.3,20.3,3,1.0,0
100638,79.3,73.7,10.4,4,0.548,1
100639,70.0,,34.5,3,-0.002,0
100640,69.2,62.3,45.5,3,0.219,0
100641,100.0,73.2,23.4,3,0.237,0
100642,65.9,63.3,30.7,2,-0.096,0
100643,69.5,76.4,18.9,3,-0.096,0
100644,49.4,70.7,15.4,2,0.705,0
100645,64.4,60.8,43.1,3,0.061,1
100646,47.2,87.9,30.4,3,-0.243,0
100647,89.4,80.0,32.1,3,0.231,1
100648,100.0,67.7,56.0,2,0.303,1
100649,71.4,76.0,13.7,3,-0.638,0
100650,48.0,72.8,18.1,3,0.232,1
100651,94.2,61.9,26.8,4,0.641,0
100652,64.9,75.0,18.0,3,0.453,1
100653,100.0,65.3,37.7,3,1.0,1
100654,72.9,60.8,22.1,3,0.813,1
100655,66.6,51.3,14.2,4,0.902,0
100656,74.8,69.0,25.4,2,1.0,0
100657,91.6,81.9,26.9,3,0.591,0
100658,73.9,64.3,41.0,5,0.323,1
100659,69.1,100.0,30.5,3,0.688,0
100660,74.4,86.4,238.3,2,-0.002,0
100661,55.1,92.3,29.3,3,0.298,0
100662,85.1,85.1,22.1,2,-0.041,0
100663,45.8,99.9,16.5,3,0.429,1
100664,70.0,63.0,28.8,4,-0.043,0
100665,91.7,38.1,20.4,3,-0.059,0
100666,0.0,67.8,62.1,3,0.436,0
100667,88.6,81.8,51.3,4,0.188,0
100668,76.8,76.1,34.7,2,-0.617,0
100669,99.1,77.9,30.2,2,-0.405,0
100670,94.6,92.5,23.4,3,-0.266,1
100671,86.0,79.3,12.3,3,-0.147,0
100672,94.7,85.2,21.8,3,0.436,1
100673,91.5,60.8,25.9,2,0.349,0
100674,70.1,58.7,27.8,3,0.729,1
100675,53.8,96.6,31.8,3,0.589,1
100676,85.6,75.4,40.7,3,0.732,1
100677,87.8,65.3,16.8,3,0.524,1
100678,97.6,65.3,16.8,3,0.344,1
100679,61.1,64.9,54.5,2,0.745,1
100680,61.7,64.1,37.5,3,0.664,0
100681,86.3,56.0,19.8,3,0.419,1
100682,76.7,53.0,23.1,3,0.822,1
100683,44.1,71.3,23.2,4,-0.806,0
100684,0.0,65.7,25.0,3,0.119,0
100685,44.7,,31.8,4,0.112,0
100686,61.0,78.1,98.9,4,0.769,1
100687,100.0,,27.2,4,0.957,1
100688,100.0,63.6,35.3,3,-0.403,1
100689,56.1,72.3,9.7,2,0.885,0
100690,72.1,79.1,18.8,4,-0.277,1
100691,78.8,84.0,48.2,3,-0.264,1
100692,100.0,,30.6,3,0.145,1
100693,69.1,89.1,2.2,4,0.107,0
100694,69.4,74.1,35.5,3,-0.451,0
100695,100.0,85.1,70.5,3,0.542,1
100696,71.3,67.1,8.2,3,0.556,1
100697,91.0,48.6,56.6,3,0.724,0
100698,51.4,77.8,5.3,3,0.055,0
100699,74.9,84.2,41.1,4,0.232,0
100700,48.1,82.1,24.4,3,0.236,1
100701,59.0,79.9,6.7,4,1.0,1
100702,93.1,69.1,31.4,4,-1.0,0
100703,77.1,62.7,46.2,3,-0.181,1
100704,72.3,81.7,30.0,2,0.252,0
100705,64.5,80.0,33.8,2,-0.239,0
100706,74.0,66.1,19.6,4,0.134,1
100707,83.4,89.5,8.8,2,0.193,0
100708,95.7,61.6,35.9,3,-0.046,0
100709,30.7,65.8,64.2,3,0.279,1
100710,63.0,96.9,45.7,4,0.533,1
100711,80.9,86.2,8.2,3,0.144,0
100712,76.2,69.0,10.7,3,0.046,1
100713,85.3,78.0,15.4,3,0.175,0
100714,82.8,76.2,10.2,3,0.247,1
100715,72.5,35.6,25.1,3,-0.533,0
100716,68.5,61.3,30.5,4,0.458,0
100717,73.6,73.3,11.2,3,0.047,0
100718,98.7,69.0,37.6,3,0.818,0
100719,64.8,77.5,34.1,3,0.516,1
100720,76.9,89.8,18.1,3,0.777,0
100721,81.3,69.5,22.3,4,-0.205,1
100722,100.0,59.2,8.4,3,0.083,1
100723,72.6,78.5,20.4,4,-0.309,1
100724,95.3,69.4,24.6,3,-0.067,0
100725,100.0,71.8,26.9,3,0.813,0
100726,76.9,69.9,30.2,3,0.919,1
100727,74.2,100.0,28.1,3,-0.267,0
100728,72.1,42.6,21.2,4,0.044,1
100729,73.4,68.6,28.7,3,0.216,0
100730,93.4,73.9,42.6,3,0.514,1
100731,82.2,63.1,23.3,3,-0.542,0
100732,82.2,86.6,29.2,2,-0.471,1
100733,57.7,85.4,22.1,3,0.47,0
100734,60.6,73.3,17.2,4,-0.627,0
100735,100.0,70.2,32.7,3,0.049,1
100736,74.8,72.4,18.1,3,0.323,1
100737,64.1,72.5,30.3,1,0.437,1
100738,100.0,72.9,24.9,3,0.186,1
100739,83.1,71.4,20.8,3,0.085,0
100740,88.4,77.5,20.5,3,0.63,0
100741,75.5,84.5,18.6,4,0.378,1
100742,72.3,56.8,9.9,3,-0.041,0
100743,74.9,59.3,30.3,3,0.267,0
100744,53.1,49.5,27.9,2,0.422,0
100745,76.4,86.1,39.1,3,1.0,1
100746,83.3,77.5,18.3,2,0.604,0
100747,100.0,81.1,69.6,2,0.797,0
100748,79.5,54.0,19.9,2,-0.025,0
100749,0.0,,15.2,4,0.014,0
100750,76.3,65.5,14.2,3,0.144,1
100751,100.0,,9.5,3,0.185,1
100752,93.6,86.0,57.0,3,-0.204,0
100753,63.4,60.2,52.1,2,0.82,0
100754,88.6,66.4,34.1,4,0.648,1
100755,64.6,76.5,15.0,2,0.112,0
100756,53.6,100.0,66.4,3,0.539,0
100757,71.7,78.2,20.2,3,0.35,0
100758,79.6,96.5,21.2,3,0.574,0
100759,44.3,90.9,54.1,3,-0.355,0
100760,57.3,79.2,35.2,2,0.184,0
100761,78.2,60.2,82.3,3,0.224,1
100762,70.7,88.8,28.1,3,0.531,1
100763,85.1,53.0,19.7,3,-0.033,0
100764,56.1,96.4,17.5,4,-0.875,0
100765,90.9,76.8,8.9,2,-0.237,0
100766,56.7,36.9,21.0,3,0.223,0
100767,100.0,69.2,46.0,3,0.279,0
100768,47.1,83.2,34.1,4,1.0,1
100769,58.3,70.7,24.8,3,0.512,1
100770,85.5,84.0,14.2,4,0.287,1
100771,100.0,62.1,27.8,3,0.235,1
100772,83.7,55.7,42.8,3,0.747,1
100773,88.1,73.0,31.1,2,-0.016,0
100774,78.3,74.4,26.9,2,0.187,0
100775,59.5,69.1,15.8,3,-0.24,0
100776,69.2,91.2,39.5,3,0.889,1
100777,56.2,62.1,4.4,3,0.427,1
100778,55.0,78.4,30.3,3,-0.068,0
100779,85.2,75.0,100.9,4,0.198,1
100780,57.8,52.2,10.7,3,0.479,0
100781,83.8,55.5,21.5,3,0.137,0
100782,54.6,74.2,24.4,3,0.009,0
100783,83.3,100.0,19.0,4,-0.044,1
100784,69.2,82.1,43.4,3,0.403,0
100785,100.0,49.8,31.8,3,0.089,1
100786,83.8,30.5,26.7,2,0.046,1
100787,100.0,84.3,38.0,4,-0.351,0
100788,64.4,72.7,24.8,3,0.285,0
100789,79.0,90.0,141.0,3,0.168,1
100790,60.3,61.7,26.7,5,0.105,1
100791,70.6,78.9,27.3,3,0.339,0
100792,73.3,85.8,9.6,2,0.587,0
100793,64.9,,18.2,3,0.566,0
100794,56.1,68.0,46.1,3,0.499,0
100795,52.6,74.4,11.8,3,0.142,1
100796,35.9,81.6,7.5,3,-0.005,0
100797,59.0,73.8,25.0,3,-0.22,0
100798,89.3,87.6,52.1,2,-0.017,0
100799,49.2,,25.1,4,0.259,1
100800,53.4,55.4,20.4,3,-0.104,0
100801,100.0,100.0,8.8,3,0.293,1
100802,66.5,65.5,31.5,3,-0.184,0
100803,83.8,66.0,35.3,3,-0.497,0
100804,89.6,73.1,9.2,3,0.619,1
100805,89.9,74.9,45.8,4,0.037,1
100806,50.6,68.6,37.4,3,-0.127,0
100807,73.8,73.8,45.7,3,-0.242,1
100808,48.9,73.4,33.8,3,0.44,0
100809,100.0,76.4,35.1,3,0.869,1
100810,49.3,41.0,32.7,3,0.069,0
100811,59.1,100.0,39.6,4,0.153,1
100812,59.3,71.9,9.0,3,0.732,1
100813,51.1,82.1,10.7,3,-0.565,0
100814,100.0,54.7,16.4,3,1.0,1
100815,100.0,67.4,22.8,3,1.0,1
100816,69.4,64.6,30.4,3,-0.968,0
100817,54.2,94.6,29.3,3,0.206,1
100818,37.7,65.8,45.3,3,-0.074,1
100819,73.6,84.6,46.1,2,0.131,0
100820,72.3,64.9,15.2,3,0.062,0
100821,66.3,67.7,28.0,3,0.615,0
100822,82.0,70.6,15.4,4,0.199,1
100823,85.1,92.0,22.1,3,-0.16,0
100824,83.8,47.5,29.3,2,0.173,0
100825,72.3,55.6,3.8,3,0.482,0
100826,58.2,46.7,92.4,3,-0.283,0
100827,90.0,58.8,33.5,3,-0.491,0
100828,78.2,62.6,17.7,3,1.0,0
100829,94.0,51.4,70.8,3,-0.039,1
100830,92.2,63.7,20.3,3,0.188,0
100831,52.4,45.8,26.4,3,0.071,0
100832,52.2,59.7,18.8,4,0.497,1
100833,64.4,90.8,60.9,3,1.0,0
100834,59.0,79.7,23.2,4,0.511,1
100835,91.6,76.6,26.6,4,-0.433,1
100836,84.3,60.0,47.6,3,-0.373,0
100837,97.8,52.5,33.8,2,0.07,0
100838,85.1,58.1,23.8,4,0.129,0
100839,81.8,73.4,45.2,3,-0.525,0
100840,99.6,86.2,99.1,4,0.619,1
100841,86.5,86.6,29.2,3,-0.239,1
100842,79.2,82.8,26.2,3,0.922,0
100843,100.0,63.7,26.9,4,1.0,1
100844,80.1,74.3,50.4,3,0.138,1
100845,72.5,69.5,17.6,4,0.448,0
100846,62.9,71.2,21.1,3,-0.304,0
100847,90.7,100.0,10.5,3,0.531,1
100848,100.0,49.3,12.8,3,0.026,1
100849,77.1,70.7,18.5,2,-0.239,0
100850,100.0,91.0,23.8,3,0.12,1
100851,42.5,53.5,64.9,2,0.04,0
100852,77.0,65.0,32.9,3,0.104,1
100853,77.3,66.6,14.9,4,0.677,1
100854,64.9,,16.4,3,-0.103,0
100855,100.0,51.7,52.3,2,1.0,1
100856,76.8,82.3,45.6,4,-0.346,0
100857,70.7,83.3,24.9,3,0.977,1
100858,78.5,81.1,19.2,3,-0.207,0
100859,41.9,61.8,45.5,3,0.25,0
100860,64.3,75.2,14.2,3,0.029,1
100861,95.7,61.4,30.4,2,0.095,0
100862,66.7,69.3,85.6,4,0.611,1
100863,63.1,100.0,27.5,3,0.925,1
100864,100.0,75.3,16.0,3,0.786,1
100865,100.0,57.4,30.7,3,0.068,0
100866,87.3,76.5,18.9,4,0.333,1
100867,69.8,55.1,11.4,3,-0.102,0
100868,73.7,57.2,36.1,2,-0.196,0
100869,63.5,59.4,45.4,3,-0.266,0
100870,60.1,67.8,20.7,4,0.053,0
100871,59.2,87.1,19.9,4,0.362,1
100872,66.9,82.1,213.0,3,-0.61,0
100873,59.4,81.3,22.6,4,0.229,1
100874,49.9,58.6,18.0,4,0.932,1
100875,81.9,66.4,14.1,3,0.755,1
100876,82.2,77.8,69.5,3,-0.013,1
100877,100.0,65.2,31.7,3,-0.379,0
100878,66.0,70.1,33.6,3,0.457,1
100879,83.3,80.2,39.9,3,-0.793,0
100880,83.6,69.1,37.5,3,0.75,1
100881,73.4,77.2,19.5,2,0.154,0
100882,91.4,96.3,28.5,3,1.0,1
100883,92.0,71.6,21.2,3,-0.527,0
100884,83.9,90.5,31.2,4,0.663,1
100885,73.4,81.8,29.6,2,0.205,0
100886,71.6,53.5,19.9,3,0.101,1
100887,53.4,58.6,11.8,3,-0.366,0
100888,63.5,62.3,26.6,4,0.518,0
100889,66.8,62.0,21.9,3,0.554,1
100890,57.8,72.7,8.7,4,1.0,1
100891,85.9,82.6,32.4,4,0.704,0
100892,99.5,91.6,41.7,3,-0.017,1
100893,61.7,78.3,230.0,3,-0.202,0
100894,83.1,67.8,19.8,3,-0.366,0
100895,59.4,44.8,18.2,4,0.913,1
100896,72.5,75.0,13.3,2,-0.1,0
100897,65.6,74.4,27.5,3,0.916,0
100898,88.8,,27.4,3,0.486,0
100899,65.8,100.0,15.7,4,0.398,1
